instance,k,model,runtime,lb,ub,bb-nodes,simplex-iter,num-vars,num-constrs
greece,8,D-Flow,18000.0,105.2,271.5,2747300.0,265100015.0,2447,8560
greece,8,D-Tree,18000.0,235.9,265.6,3491250.0,109022791.0,883,25489
greece,9,ER-S,604.7,220.6,220.6,1765.0,1182902.0,741,26052
greece,9,D-Flow,18000.0,54.0,220.6,2627629.0,229742217.0,2665,9625
greece,9,D-Tree,7357.73,220.6,220.6,1595250.0,41044366.0,883,25489
romania,10,ER-S,18000.01,145.1,148.1,23073.0,15680811.0,903,35346
romania,10,D-Flow,18000.0,23.4,151.0,2271758.0,208940726.0,3701,13514
romania,10,D-Tree,18000.0,113.8,148.1,2361925.0,81008788.0,1103,34683
romania,3,ER-S,15003.73,764.8,764.8,2955.0,14269559.0,903,35346
romania,3,D-Flow,18000.0,594.7,766.4,671507.0,212925619.0,1713,4085
romania,3,D-Tree,18000.0,153.0,1e+100,3001685.0,154445162.0,1103,34683
romania,4,ER-S,18000.0,488.7,514.3,4653.0,13201566.0,903,35346
romania,4,D-Flow,18000.0,259.9,514.3,511573.0,189455699.0,1997,5432
romania,4,D-Tree,18000.0,159.6,631.8,1749478.0,119031798.0,1103,34683
romania,5,ER-S,14632.75,377.7,377.7,4903.0,10546353.0,903,35346
romania,5,D-Flow,18000.0,161.5,377.7,402702.0,155601586.0,2281,6779
romania,5,D-Tree,18000.01,135.8,453.1,4141218.0,116837920.0,1103,34683
romania,6,ER-S,2639.39,290.2,290.2,2001.0,2745784.0,903,35346
romania,6,D-Flow,18000.0,96.5,290.2,416034.0,148304586.0,2565,8126
romania,6,D-Tree,18000.0,148.2,357.8,2089242.0,102481533.0,1103,34683
romania,7,ER-S,8809.66,235.8,235.8,6338.0,8761550.0,903,35346
romania,7,D-Flow,18000.0,61.7,238.1,1049839.0,184719791.0,2849,9473
romania,7,D-Tree,18000.0,120.4,238.1,5038733.0,102643542.0,1103,34683
romania,8,ER-S,18000.0,199.5,201.5,14677.0,16624863.0,903,35346
romania,8,D-Flow,18000.0,37.8,202.7,1678006.0,237495127.0,3133,10820
romania,8,D-Tree,18000.0,127.3,201.5,2293199.0,90266567.0,1103,34683
romania,9,ER-S,16746.33,172.4,172.4,15390.0,16214403.0,903,35346
romania,9,D-Flow,18000.0,23.5,172.4,1558399.0,225041130.0,3417,12167
romania,9,D-Tree,18000.01,118.5,172.4,2593719.0,84124610.0,1103,34683
spain,10,ER-S,2945.97,200.7,200.7,4714.0,2642820.0,1128,49776
spain,10,D-Flow,18000.0,36.1,206.7,1295678.0,196584834.0,4241,16259
spain,10,D-Tree,18000.0,119.2,200.7,1900871.0,68285873.0,1350,48915
spain,3,ER-S,345.95,1191.8,1191.8,43.0,401644.0,1128,49776
